Annee,Mois,Date Debut,Date Fin,Duree Vague,No,Tmax enregistree,Intensite vague,Aire,Severite
1872,6,28-Jun-1872,02-Jul-1872,5,1,27.49999999999999,1.217391304347821,5.783333333333303,2.5144927536231707
1872,7,15-Jul-1872,18-Jul-1872,4,2,27.699999999999992,1.3043478260869525,4.566666666666663,1.9855072463768062
1876,8,05-Aug-1876,08-Aug-1876,4,1,27.133333333333336,1.0579710144927548,4.133333333333347,1.797101449275365
1878,6,29-Jun-1878,04-Jul-1878,6,1,28.733333333333352,1.7536231884058038,11.183333333333437,4.862318840579746
1882,8,03-Aug-1882,07-Aug-1882,5,1,27.000000000000014,1.0000000000000062,4.650000000000048,2.0217391304348
1884,8,16-Aug-1884,22-Aug-1884,7,1,27.066666666666688,1.0289855072463858,6.933333333333451,3.0144927536232338
1897,7,05-Jul-1897,10-Jul-1897,6,1,27.833333333333325,1.3623188405797058,10.716666666666669,4.659420289855064
1901,6,26-Jun-1901,30-Jun-1901,5,1,27.900000000000006,1.3913043478260887,7.350000000000023,3.1956521739130475
1901,7,14-Jul-1901,18-Jul-1901,5,2,27.80000000000001,1.347826086956526,7.283333333333374,3.1666666666666785
1911,7,02-Jul-1911,07-Jul-1911,6,1,28.466666666666672,1.6376811594202911,9.316666666666691,4.050724637681163
1911,7,09-Jul-1911,13-Jul-1911,5,2,27.800000000000008,1.3478260869565244,4.90000000000002,2.1304347826087002
1912,7,04-Jul-1912,11-Jul-1912,8,1,28.066666666666663,1.4637681159420264,14.416666666666686,6.268115942028982
1916,8,18-Aug-1916,22-Aug-1916,5,1,27.033333333333328,1.014492753623186,4.2666666666666515,1.855072463768106
1917,7,30-Jul-1917,03-Aug-1917,5,1,27.466666666666665,1.2028985507246366,5.533333333333331,2.40579710144927
1921,7,02-Jul-1921,05-Jul-1921,4,1,28.066666666666677,1.4637681159420326,5.300000000000026,2.304347826086963
1921,7,02-Jul-1921,10-Jul-1921,9,2,27.166666666666682,1.0724637681159486,8.066666666666748,3.507246376811623
1921,7,02-Jul-1921,15-Jul-1921,14,3,27.200000000000014,1.0869565217391362,9.033333333333417,3.927536231884087
1921,7,23-Jul-1921,28-Jul-1921,6,4,27.400000000000006,1.173913043478263,7.650000000000034,3.3260869565217477
1931,6,30-Jun-1931,04-Jul-1931,5,1,28.366666666666664,1.5942028985507222,8.466666666666669,3.681159420289849
1933,6,27-Jun-1933,01-Jul-1933,5,1,27.333333333333325,1.1449275362318803,6.21666666666664,2.7028985507246213
1944,8,10-Aug-1944,13-Aug-1944,4,1,27.16666666666669,1.0724637681159517,3.866666666666717,1.6811594202898739
1944,8,10-Aug-1944,17-Aug-1944,8,2,27.90000000000002,1.391304347826095,8.93333333333345,3.8840579710145366
1947,8,12-Aug-1947,15-Aug-1947,4,1,27.533333333333307,1.2318840579710024,4.449999999999953,1.9347826086956281
1948,8,24-Aug-1948,29-Aug-1948,6,1,27.53333333333332,1.2318840579710086,7.3166666666666345,3.181159420289835
1949,7,26-Jul-1949,31-Jul-1949,6,1,28.099999999999998,1.4782608695652155,9.0,3.9130434782608625
1953,7,16-Jul-1953,20-Jul-1953,5,1,27.7,1.3043478260869557,7.783333333333331,3.3840579710144856
1953,8,28-Aug-1953,31-Aug-1953,4,2,27.066666666666652,1.0289855072463705,3.7166666666666472,1.6159420289854958
1955,7,07-Jul-1955,11-Jul-1955,5,1,28.466666666666658,1.637681159420285,6.899999999999977,2.9999999999999845
1955,7,21-Jul-1955,24-Jul-1955,4,2,27.46666666666665,1.2028985507246304,3.84999999999998,1.6739130434782492
1955,7,31-Jul-1955,03-Aug-1955,4,3,27.133333333333308,1.0579710144927426,4.033333333333289,1.7536231884057745
1959,7,28-Jul-1959,01-Aug-1959,5,1,27.7,1.3043478260869557,6.766666666666666,2.9420289855072403
1963,6,29-Jun-1963,03-Jul-1963,5,1,27.333333333333304,1.144927536231871,4.5166666666665805,1.963768115941988
1963,7,24-Jul-1963,30-Jul-1963,7,2,27.899999999999963,1.3913043478260703,13.083333333333172,5.688405797101368
1968,7,14-Jul-1968,20-Jul-1968,7,1,27.433333333333348,1.1884057971014552,10.416666666666742,4.528985507246402
1969,7,16-Jul-1969,19-Jul-1969,4,1,27.166666666666657,1.0724637681159377,3.866666666666653,1.6811594202898459
1970,7,24-Jul-1970,01-Aug-1970,9,1,27.700000000000003,1.3043478260869572,14.866666666666731,6.463768115942045
1970,8,09-Aug-1970,17-Aug-1970,9,2,27.533333333333356,1.231884057971024,11.866666666666845,5.159420289855141
1973,8,29-Aug-1973,04-Sep-1973,7,1,27.033333333333342,1.0144927536231922,8.933333333333394,3.884057971014512
1975,7,30-Jul-1975,05-Aug-1975,7,1,29.36666666666667,2.0289855072463765,15.966666666666725,6.942028985507259
1977,7,16-Jul-1977,22-Jul-1977,7,1,27.69999999999999,1.304347826086951,5.783333333333303,2.5144927536231707
1982,7,16-Jul-1982,20-Jul-1982,5,1,27.36666666666667,1.1594202898550738,6.01666666666668,2.615942028985508
1987,7,08-Jul-1987,15-Jul-1987,8,1,28.699999999999992,1.739130434782604,13.599999999999994,5.913043478260856
1988,7,06-Jul-1988,11-Jul-1988,6,1,28.36666666666667,1.5942028985507253,10.366666666666703,4.507246376811602
1989,7,23-Jul-1989,27-Jul-1989,5,1,27.26666666666667,1.1159420289855082,6.316666666666677,2.746376811594202
1991,7,18-Jul-1991,22-Jul-1991,5,1,27.7,1.3043478260869557,6.283333333333331,2.7318840579710084
2001,7,21-Jul-2001,25-Jul-2001,5,1,27.233333333333334,1.101449275362319,4.983333333333334,2.166666666666663
2001,8,01-Aug-2001,10-Aug-2001,10,2,27.900000000000002,1.3913043478260871,12.083333333333371,5.253623188405804
2002,6,30-Jun-2002,05-Jul-2002,6,1,28.5,1.6521739130434772,9.433333333333337,4.101449275362313
2002,8,11-Aug-2002,17-Aug-2002,7,2,28.00000000000001,1.434782608695656,12.250000000000085,5.326086956521766
2005,6,11-Jun-2005,14-Jun-2005,4,1,27.53333333333333,1.2318840579710133,4.183333333333337,1.8188405797101432
2010,7,04-Jul-2010,10-Jul-2010,7,1,29.333333333333353,2.014492753623195,14.93333333333345,6.492753623188444
2011,7,20-Jul-2011,24-Jul-2011,5,1,27.999999999999996,1.4347826086956499,7.5,3.2608695652173854
2012,6,20-Jun-2012,23-Jun-2012,4,1,27.0,1.0,3.4000000000000057,1.478260869565217
2012,7,13-Jul-2012,16-Jul-2012,4,2,27.066666666666652,1.0289855072463705,4.166666666666643,1.811594202898537
2013,7,14-Jul-2013,18-Jul-2013,5,1,27.399999999999995,1.1739130434782583,6.549999999999983,2.847826086956509
